2018-03-20 2018031 	 02 16 18 19 27 30  14 	 345,048,756 	 3 116 
2018-03-18 2018030 	 13 14 20 21 25 33  07 	 388,492,136 	 1 98 
2018-03-15 2018029 	 01 02 09 14 22 25  05 	 349,939,456 	 5 85 
2018-03-13 2018028 	 03 08 11 14 18 23  16 	 352,015,830 	 7 220 
2018-03-11 2018027 	 02 07 09 14 18 28  05 	 386,579,026 	 6 144 
2018-03-08 2018026 	 04 07 12 14 26 32  04 	 341,958,742 	 6 75 
2018-03-06 2018025 	 04 13 16 19 21 25  14 	 341,614,936 	 1 83 
2018-03-04 2018024 	 11 19 22 26 31 32  02 	 373,443,496 	 9 81 
2018-03-01 2018023 	 12 15 16 21 26 29  16 	 339,395,846 	 3 159 
2018-02-27 2018022 	 07 14 19 21 22 23  03 	 333,617,132 	 6 111 
2018-02-25 2018021 	 03 04 06 11 23 28  14 	 364,661,036 	 3 216 
2018-02-22 2018020 	 06 09 10 14 28 30  05 	 322,991,340 	 33 212 
2018-02-13 2018019 	 03 11 12 16 21 23  09 	 353,382,992 	 8 80 
2018-02-11 2018018 	 02 12 13 18 25 27  07 	 364,855,490 	 12 214 
2018-02-08 2018017 	 03 06 11 26 30 32  12 	 341,808,336 	 5 68 
2018-02-06 2018016 	 01 11 12 18 25 27  16 	 338,462,386 	 4 98 
2018-02-04 2018015 	 11 15 20 21 26 33  15 	 372,995,620 	 6 172 
2018-02-01 2018014 	 09 12 20 24 28 31  07 	 341,965,074 	 17 103 
2018-01-30 2018013 	 06 08 13 15 22 33  06 	 338,322,260 	 9 99 
2018-01-28 2018012 	 11 12 13 19 26 28  12 	 367,108,128 	 8 129 
2018-01-25 2018011 	 03 10 21 23 27 33  11 	 336,871,794 	 8 138 
2018-01-23 2018010 	 01 08 17 20 21 22  03 	 351,327,690 	 6 71 
2018-01-21 2018009 	 05 10 17 23 26 32  07 	 384,256,808 	 17 221 
2018-01-18 2018008 	 05 09 10 12 17 19  13 	 359,785,672 	 11 144 
2018-01-16 2018007 	 13 14 20 25 27 31  12 	 354,279,554 	 8 132 
2018-01-14 2018006 	 02 07 08 09 17 29  11 	 387,617,618 	 11 172 
2018-01-11 2018005 	 02 20 21 28 31 33  06 	 354,961,030 	 1 68 
2018-01-09 2018004 	 14 18 19 26 30 31  11 	 349,304,820 	 13 55 
2018-01-07 2018003 	 01 14 16 17 20 31  04 	 388,121,442 	 5 167 
2018-01-04 2018002 	 07 18 24 29 31 33  16 	 351,610,618 	 3 94 
2018-01-02 2018001 	 01 08 11 26 28 31  04 	 367,348,082 	 22 191 
2017-12-31 2017154 	 05 09 13 15 18 26  05 	 414,241,024 	 11 141 
2017-12-28 2017153 	 07 11 12 13 18 19  16 	 372,349,292 	 4 165 
2017-12-26 2017152 	 06 10 23 25 26 29  05 	 367,326,916 	 8 129 
2017-12-24 2017151 	 02 05 07 09 11 27  16 	 410,102,286 	 6 171 
2017-12-21 2017150 	 06 14 19 20 21 23  08 	 382,821,120 	 9 82 
2017-12-19 2017149 	 05 08 15 20 27 30  13 	 389,703,152 	 67 1126 
2017-12-17 2017148 	 04 07 11 14 29 32  12 	 419,003,890 	 18 274 
2017-12-14 2017147 	 03 07 20 21 25 31  14 	 397,012,632 	 3 131 
2017-12-12 2017146 	 01 19 25 26 27 33  10 	 409,358,700 	 21 252 
